elapsed_s,timestamp,raw,phase,cycle_index
0.002,14:58:40.806,2632.0,inhale,1
0.002,14:58:40.806,2628.0,inhale,1
0.002,14:58:40.807,2621.0,inhale,1
0.002,14:58:40.807,2614.0,inhale,1
0.002,14:58:40.807,2611.0,inhale,1
0.003,14:58:40.807,2603.0,inhale,1
0.003,14:58:40.807,2601.0,inhale,1
0.003,14:58:40.807,2596.0,inhale,1
0.003,14:58:40.807,2590.0,inhale,1
0.003,14:58:40.808,2587.0,inhale,1
0.003,14:58:40.808,2585.0,inhale,1
0.003,14:58:40.808,2586.0,inhale,1
0.004,14:58:40.808,2585.0,inhale,1
0.004,14:58:40.808,2585.0,inhale,1
0.004,14:58:40.808,2587.0,inhale,1
0.004,14:58:40.808,2592.0,inhale,1
0.004,14:58:40.809,2592.0,inhale,1
0.004,14:58:40.809,2595.0,inhale,1
0.004,14:58:40.809,2597.0,inhale,1
0.004,14:58:40.809,2600.0,inhale,1
0.004,14:58:40.809,2597.0,inhale,1
0.004,14:58:40.809,2599.0,inhale,1
0.004,14:58:40.809,2600.0,inhale,1
0.005,14:58:40.809,2601.0,inhale,1
0.005,14:58:40.809,2601.0,inhale,1
0.005,14:58:40.809,2597.0,inhale,1
0.005,14:58:40.809,2605.0,inhale,1
0.005,14:58:40.809,2606.0,inhale,1
0.005,14:58:40.809,2610.0,inhale,1
0.005,14:58:40.809,2611.0,inhale,1
0.005,14:58:40.809,2612.0,inhale,1
0.005,14:58:40.810,2614.0,inhale,1
0.005,14:58:40.810,2616.0,inhale,1
0.005,14:58:40.810,2617.0,inhale,1
0.005,14:58:40.810,2617.0,inhale,1
0.005,14:58:40.810,2616.0,inhale,1
0.006,14:58:40.810,2620.0,inhale,1
0.006,14:58:40.810,2620.0,inhale,1
0.006,14:58:40.810,2625.0,inhale,1
0.006,14:58:40.810,2618.0,inhale,1
0.006,14:58:40.810,2622.0,inhale,1
0.006,14:58:40.810,2625.0,inhale,1
0.006,14:58:40.810,2623.0,inhale,1
0.006,14:58:40.811,2628.0,inhale,1
0.006,14:58:40.811,2625.0,inhale,1
0.006,14:58:40.811,2627.0,inhale,1
0.006,14:58:40.811,2627.0,inhale,1
0.006,14:58:40.811,2629.0,inhale,1
0.006,14:58:40.811,2625.0,inhale,1
0.007,14:58:40.811,2628.0,inhale,1
0.007,14:58:40.811,2627.0,inhale,1
0.007,14:58:40.811,2628.0,inhale,1
0.007,14:58:40.811,2625.0,inhale,1
0.007,14:58:40.811,2619.0,inhale,1
0.007,14:58:40.811,2616.0,inhale,1
0.007,14:58:40.811,2614.0,inhale,1
0.007,14:58:40.811,2615.0,inhale,1
0.007,14:58:40.812,2614.0,inhale,1
0.007,14:58:40.812,2615.0,inhale,1
0.007,14:58:40.812,2615.0,inhale,1
0.027,14:58:40.832,2618.0,inhale,1
0.077,14:58:40.882,2622.0,inhale,1
0.128,14:58:40.932,2614.0,inhale,1
0.177,14:58:40.982,2613.0,inhale,1
0.227,14:58:41.032,2613.0,inhale,1
0.277,14:58:41.082,2612.0,inhale,1
0.327,14:58:41.132,2606.0,inhale,1
0.377,14:58:41.182,2605.0,inhale,1
0.427,14:58:41.232,2613.0,inhale,1
0.477,14:58:41.282,2612.0,inhale,1
0.527,14:58:41.332,2615.0,inhale,1
0.577,14:58:41.382,2613.0,inhale,1
0.627,14:58:41.432,2617.0,inhale,1
0.677,14:58:41.482,2619.0,inhale,1
0.727,14:58:41.532,2619.0,inhale,1
0.777,14:58:41.582,2622.0,inhale,1
0.827,14:58:41.632,2621.0,inhale,1
0.877,14:58:41.682,2619.0,inhale,1
0.927,14:58:41.732,2616.0,inhale,1
0.977,14:58:41.782,2613.0,inhale,1
1.027,14:58:41.832,2606.0,inhale,1
1.077,14:58:41.882,2600.0,inhale,1
1.127,14:58:41.932,2596.0,inhale,1
1.177,14:58:41.982,2590.0,inhale,1
1.227,14:58:42.032,2589.0,inhale,1
1.277,14:58:42.082,2585.0,inhale,1
1.327,14:58:42.132,2583.0,inhale,1
1.377,14:58:42.182,2581.0,inhale,1
1.427,14:58:42.232,2579.0,inhale,1
1.477,14:58:42.282,2573.0,inhale,1
1.529,14:58:42.334,2567.0,exhale,1
1.577,14:58:42.382,2565.0,exhale,1
1.627,14:58:42.432,2567.0,exhale,1
1.678,14:58:42.482,2560.0,exhale,1
1.727,14:58:42.532,2554.0,exhale,1
1.778,14:58:42.582,2552.0,exhale,1
1.827,14:58:42.632,2551.0,exhale,1
1.877,14:58:42.682,2550.0,exhale,1
1.927,14:58:42.732,2546.0,exhale,1
1.977,14:58:42.782,2552.0,exhale,1
2.027,14:58:42.832,2566.0,exhale,1
2.077,14:58:42.882,2555.0,exhale,1
2.128,14:58:42.932,2557.0,exhale,1
2.177,14:58:42.982,2553.0,exhale,1
2.228,14:58:43.032,2556.0,exhale,1
2.277,14:58:43.082,2553.0,exhale,1
2.327,14:58:43.132,2547.0,exhale,1
2.377,14:58:43.182,2552.0,exhale,1
2.427,14:58:43.232,2549.0,exhale,1
2.478,14:58:43.282,2551.0,exhale,1
2.527,14:58:43.332,2551.0,exhale,1
2.577,14:58:43.382,2552.0,exhale,1
2.628,14:58:43.432,2557.0,exhale,1
2.677,14:58:43.482,2563.0,exhale,1
2.727,14:58:43.532,2568.0,exhale,1
2.778,14:58:43.582,2570.0,exhale,1
2.828,14:58:43.633,2572.0,exhale,1
2.877,14:58:43.682,2575.0,exhale,1
2.927,14:58:43.732,2578.0,exhale,1
2.977,14:58:43.782,2581.0,exhale,1
3.027,14:58:43.832,2582.0,exhale,1
3.077,14:58:43.882,2582.0,exhale,1
3.127,14:58:43.932,2581.0,exhale,1
3.177,14:58:43.982,2582.0,exhale,1
3.227,14:58:44.032,2585.0,exhale,1
3.277,14:58:44.082,2586.0,exhale,1
3.327,14:58:44.132,2587.0,exhale,1
3.377,14:58:44.182,2588.0,exhale,1
3.427,14:58:44.232,2588.0,exhale,1
3.477,14:58:44.282,2588.0,exhale,1
3.527,14:58:44.332,2588.0,exhale,1
3.577,14:58:44.382,2589.0,exhale,1
3.627,14:58:44.432,2588.0,exhale,1
3.677,14:58:44.482,2591.0,exhale,1
3.727,14:58:44.532,2593.0,exhale,1
3.777,14:58:44.582,2593.0,exhale,1
3.827,14:58:44.632,2595.0,exhale,1
3.877,14:58:44.682,2596.0,exhale,1
3.929,14:58:44.733,2600.0,exhale,1
3.977,14:58:44.782,2601.0,exhale,1
4.028,14:58:44.833,2603.0,inhale,2
4.077,14:58:44.882,2604.0,inhale,2
4.127,14:58:44.932,2604.0,inhale,2
4.177,14:58:44.982,2604.0,inhale,2
4.227,14:58:45.032,2602.0,inhale,2
4.277,14:58:45.082,2601.0,inhale,2
4.329,14:58:45.133,2601.0,inhale,2
4.377,14:58:45.182,2593.0,inhale,2
4.427,14:58:45.232,2589.0,inhale,2
4.477,14:58:45.282,2587.0,inhale,2
4.529,14:58:45.333,2583.0,inhale,2
4.577,14:58:45.382,2580.0,inhale,2
4.627,14:58:45.432,2579.0,inhale,2
4.677,14:58:45.482,2573.0,inhale,2
4.727,14:58:45.532,2571.0,inhale,2
4.777,14:58:45.582,2559.0,inhale,2
4.827,14:58:45.632,2567.0,inhale,2
4.877,14:58:45.682,2562.0,inhale,2
4.927,14:58:45.732,2562.0,inhale,2
4.977,14:58:45.782,2561.0,inhale,2
5.027,14:58:45.832,2557.0,inhale,2
5.077,14:58:45.882,2555.0,inhale,2
5.127,14:58:45.932,2554.0,inhale,2
5.177,14:58:45.982,2555.0,inhale,2
5.227,14:58:46.032,2554.0,inhale,2
5.277,14:58:46.082,2551.0,inhale,2
5.329,14:58:46.133,2553.0,inhale,2
5.377,14:58:46.182,2551.0,inhale,2
5.427,14:58:46.232,2551.0,inhale,2
5.477,14:58:46.282,2550.0,inhale,2
5.527,14:58:46.332,2549.0,exhale,2
5.577,14:58:46.382,2549.0,exhale,2
5.627,14:58:46.432,2549.0,exhale,2
5.677,14:58:46.482,2546.0,exhale,2
5.727,14:58:46.532,2543.0,exhale,2
5.777,14:58:46.582,2548.0,exhale,2
5.827,14:58:46.632,2545.0,exhale,2
5.877,14:58:46.682,2546.0,exhale,2
5.927,14:58:46.732,2549.0,exhale,2
5.977,14:58:46.782,2551.0,exhale,2
6.027,14:58:46.832,2552.0,exhale,2
6.077,14:58:46.882,2552.0,exhale,2
6.127,14:58:46.932,2550.0,exhale,2
6.177,14:58:46.982,2542.0,exhale,2
6.227,14:58:47.032,2547.0,exhale,2
6.277,14:58:47.082,2546.0,exhale,2
6.327,14:58:47.132,2546.0,exhale,2
6.377,14:58:47.182,2543.0,exhale,2
6.427,14:58:47.232,2542.0,exhale,2
6.477,14:58:47.282,2542.0,exhale,2
6.527,14:58:47.332,2542.0,exhale,2
6.577,14:58:47.382,2543.0,exhale,2
6.627,14:58:47.432,2543.0,exhale,2
6.677,14:58:47.482,2544.0,exhale,2
6.727,14:58:47.532,2545.0,exhale,2
6.777,14:58:47.582,2545.0,exhale,2
6.827,14:58:47.632,2544.0,exhale,2
6.877,14:58:47.682,2548.0,exhale,2
6.927,14:58:47.732,2552.0,exhale,2
6.977,14:58:47.782,2553.0,exhale,2
