elapsed_s,timestamp,raw,mv,phase,cycle_index
0.002,21:51:17.374,1116.0,958.0,inhale,1
0.002,21:51:17.374,1117.0,956.0,inhale,1
0.003,21:51:17.374,1116.0,956.0,inhale,1
0.003,21:51:17.375,1114.0,950.0,inhale,1
0.003,21:51:17.375,1115.0,953.0,inhale,1
0.003,21:51:17.375,1103.0,955.0,inhale,1
0.003,21:51:17.375,1116.0,953.0,inhale,1
0.003,21:51:17.375,1116.0,955.0,inhale,1
0.003,21:51:17.375,1109.0,953.0,inhale,1
0.003,21:51:17.375,1114.0,953.0,inhale,1
0.003,21:51:17.375,1111.0,954.0,inhale,1
0.003,21:51:17.375,1103.0,950.0,inhale,1
0.003,21:51:17.375,1122.0,951.0,inhale,1
0.003,21:51:17.375,1108.0,953.0,inhale,1
0.004,21:51:17.376,1110.0,953.0,inhale,1
0.004,21:51:17.376,1109.0,947.0,inhale,1
0.004,21:51:17.376,1111.0,955.0,inhale,1
0.004,21:51:17.376,1108.0,944.0,inhale,1
0.004,21:51:17.376,1107.0,952.0,inhale,1
0.004,21:51:17.376,1109.0,950.0,inhale,1
0.004,21:51:17.376,1109.0,953.0,inhale,1
0.004,21:51:17.376,1109.0,955.0,inhale,1
0.004,21:51:17.376,1108.0,949.0,inhale,1
0.004,21:51:17.376,1117.0,950.0,inhale,1
0.004,21:51:17.376,1107.0,953.0,inhale,1
0.004,21:51:17.376,1107.0,951.0,inhale,1
0.005,21:51:17.377,1110.0,949.0,inhale,1
0.005,21:51:17.377,1106.0,955.0,inhale,1
0.005,21:51:17.377,1105.0,951.0,inhale,1
0.005,21:51:17.377,1106.0,955.0,inhale,1
0.005,21:51:17.377,1104.0,958.0,inhale,1
0.005,21:51:17.377,1106.0,953.0,inhale,1
0.005,21:51:17.377,1104.0,952.0,inhale,1
0.005,21:51:17.377,1104.0,948.0,inhale,1
0.005,21:51:17.377,1104.0,949.0,inhale,1
0.006,21:51:17.378,1113.0,948.0,inhale,1
0.006,21:51:17.378,1101.0,948.0,inhale,1
0.006,21:51:17.378,1102.0,944.0,inhale,1
0.006,21:51:17.378,1105.0,946.0,inhale,1
0.006,21:51:17.378,1101.0,947.0,inhale,1
0.006,21:51:17.378,1100.0,944.0,inhale,1
0.006,21:51:17.378,1105.0,947.0,inhale,1
0.006,21:51:17.378,1103.0,946.0,inhale,1
0.007,21:51:17.379,1100.0,937.0,inhale,1
0.007,21:51:17.379,1103.0,948.0,inhale,1
0.007,21:51:17.379,1102.0,945.0,inhale,1
0.007,21:51:17.379,1098.0,946.0,inhale,1
0.007,21:51:17.379,1103.0,944.0,inhale,1
0.007,21:51:17.379,1105.0,946.0,inhale,1
