elapsed_s,timestamp,raw,mv,phase,cycle_index,det_phase,event
0.017,15:23:16.256,916.0,785.0,,,unknown,
0.037,15:23:16.276,923.0,793.0,,,unknown,
0.057,15:23:16.296,918.0,793.0,,,unknown,
0.077,15:23:16.316,919.0,792.0,,,unknown,
0.097,15:23:16.336,919.0,792.0,,,unknown,
0.117,15:23:16.356,917.0,792.0,,,unknown,
0.137,15:23:16.376,921.0,786.0,,,unknown,
0.157,15:23:16.396,921.0,792.0,,,unknown,
0.177,15:23:16.416,921.0,794.0,,,unknown,
0.197,15:23:16.436,920.0,791.0,,,unknown,
0.217,15:23:16.456,923.0,794.0,,,unknown,
0.237,15:23:16.476,920.0,795.0,,,unknown,
0.257,15:23:16.496,917.0,794.0,,,unknown,
0.277,15:23:16.516,920.0,793.0,,,unknown,
0.297,15:23:16.536,920.0,793.0,,,unknown,
0.317,15:23:16.556,916.0,794.0,,,unknown,
0.337,15:23:16.576,920.0,795.0,,,unknown,
0.357,15:23:16.596,925.0,793.0,,,unknown,
0.377,15:23:16.616,923.0,793.0,,,unknown,
0.397,15:23:16.636,923.0,792.0,,,unknown,
0.417,15:23:16.656,923.0,791.0,,,unknown,
0.437,15:23:16.676,921.0,791.0,,,unknown,
0.457,15:23:16.696,917.0,790.0,,,unknown,
0.477,15:23:16.716,911.0,790.0,,,unknown,
0.497,15:23:16.736,917.0,785.0,,,unknown,
0.517,15:23:16.756,915.0,788.0,,,unknown,
0.537,15:23:16.776,911.0,788.0,,,unknown,
0.561,15:23:16.800,919.0,789.0,,,unknown,
0.577,15:23:16.816,907.0,786.0,,,unknown,
0.597,15:23:16.836,915.0,786.0,,,unknown,
0.617,15:23:16.856,919.0,785.0,,,unknown,
0.637,15:23:16.876,909.0,788.0,,,unknown,
0.657,15:23:16.896,910.0,785.0,,,unknown,
0.677,15:23:16.916,907.0,780.0,,,unknown,
0.697,15:23:16.936,909.0,780.0,,,unknown,
0.717,15:23:16.956,906.0,774.0,,,unknown,
0.737,15:23:16.976,907.0,777.0,,,unknown,
0.758,15:23:16.997,906.0,784.0,,,unknown,
0.777,15:23:17.016,907.0,784.0,,,unknown,
0.797,15:23:17.036,905.0,774.0,,,unknown,
0.817,15:23:17.056,905.0,790.0,,,unknown,
0.837,15:23:17.076,905.0,783.0,,,unknown,
0.857,15:23:17.096,909.0,783.0,,,unknown,
0.877,15:23:17.116,909.0,784.0,,,unknown,
0.897,15:23:17.136,908.0,783.0,,,unknown,
0.917,15:23:17.156,940.0,783.0,,,unknown,
0.937,15:23:17.176,907.0,783.0,,,unknown,
0.958,15:23:17.196,907.0,784.0,,,unknown,
0.977,15:23:17.216,907.0,782.0,,,unknown,
0.997,15:23:17.236,907.0,784.0,,,unknown,
1.017,15:23:17.256,911.0,780.0,,,unknown,
1.037,15:23:17.276,909.0,785.0,,,unknown,
1.057,15:23:17.296,914.0,785.0,,,unknown,
1.077,15:23:17.316,907.0,784.0,,,unknown,
1.097,15:23:17.336,907.0,786.0,,,unknown,
1.117,15:23:17.356,913.0,788.0,,,unknown,
1.137,15:23:17.376,911.0,787.0,,,unknown,
1.158,15:23:17.397,910.0,789.0,,,unknown,
1.177,15:23:17.416,915.0,788.0,,,unknown,
1.197,15:23:17.436,915.0,790.0,,,unknown,
1.217,15:23:17.456,917.0,790.0,,,unknown,
1.237,15:23:17.476,919.0,791.0,,,unknown,
1.257,15:23:17.496,916.0,790.0,,,unknown,
1.277,15:23:17.516,919.0,789.0,,,unknown,
1.297,15:23:17.536,915.0,792.0,,,unknown,
1.317,15:23:17.556,917.0,791.0,,,unknown,
1.337,15:23:17.576,917.0,788.0,,,unknown,
1.357,15:23:17.596,917.0,793.0,,,unknown,
1.377,15:23:17.616,923.0,793.0,,,unknown,
1.397,15:23:17.636,919.0,792.0,,,unknown,
1.417,15:23:17.656,919.0,792.0,,,unknown,
1.437,15:23:17.676,918.0,794.0,,,unknown,
1.458,15:23:17.696,917.0,790.0,,,unknown,
1.477,15:23:17.716,975.0,792.0,,,unknown,
1.497,15:23:17.736,923.0,792.0,,,unknown,
1.517,15:23:17.756,919.0,791.0,,,unknown,
1.537,15:23:17.776,923.0,801.0,,,unknown,
1.561,15:23:17.800,917.0,788.0,,,unknown,
1.577,15:23:17.816,919.0,796.0,,,unknown,
1.597,15:23:17.836,917.0,789.0,,,unknown,
1.620,15:23:17.859,917.0,791.0,,,unknown,
1.637,15:23:17.876,919.0,790.0,,,unknown,
1.657,15:23:17.896,917.0,783.0,,,unknown,
1.677,15:23:17.916,915.0,789.0,,,unknown,
1.697,15:23:17.936,917.0,789.0,,,unknown,
1.717,15:23:17.956,915.0,787.0,,,unknown,
